ID Earthquake,Flag Tsunami,Year,Month,Focal Depth,EQ Primary,Mw Magnitude,Ms Magnitude,Mb Magnitude,Intensity,Country,State,Location name,Region code,Earthquake : Deaths,Earthquake : Deaths Description,Earthquake : Missing,Earthquake : Missing Description,Earthquake : Injuries,Earthquake : Injuries Description,Earthquake : Damage (in M$),Earthquake : Damage Description,Earthquakes : Houses destroyed,Earthquakes : Houses destroyed Description,Earthquakes : Houses damaged,Earthquakes : Houses damaged Description,Total Effects : Deaths,Total Effects : Deaths Description,Total Effects : Missing,Total Effects : Missing Description,Total Effects : Injuries,Total Effects : Injuries Description,Total Effects : Damages in million Dollars,Total Effects : Damage Description,Total Effects : Houses Destroyed,Total Effects : Houses Destroyed Description,Total Effects : Houses Damaged,Total Effects : Houses Damaged Description,Latitude,Longitude
6083,Tsunami,1929,5.0,33.0,7.0,7.0,,,,CANADA,BC,CANADA: QUEEN CHARLOTTE ISLANDS,150.0,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,51.0, -131.0
3381,,1929,1.0,140.0,7.7,,,,7.0,RUSSIA,,RUSSIA:  KURIL ISLANDS,50.0,,,,,,,,,,,,,,,,,,,,,,,,,49.8, 154.8
6091,Tsunami,1930,12.0,,6.0,,6.0,,,CHILE,,CHILE:  NORTHERN,160.0,,,,,,,,,,,,,,,,,,,,,,,,,-28.5, -71.0
6086,Tsunami,1930,7.0,100.0,6.5,,6.5,,,INDONESIA,,S. JAVA SEA,60.0,,,,,,,,,,,,,,,,,,,,,,,,,-9.3, 114.3
6087,Tsunami,1930,9.0,,,,,,4.0,INDONESIA,,INDONESIA:  AMURANG ISLAND,170.0,,,,,,,,,,,,,,,,,,,,,,,,,1.2, 124.57
6619,Tsunami,1930,8.0,15.0,5.2,,5.2,,7.0,USA,CA,CALIFORNIA:  SOUTHERN,150.0,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,1.0,Few (~1 to 50 deaths),,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,34.03, -118.643
6088,Tsunami,1930,9.0,35.0,6.6,6.6,6.8,,,PAPUA NEW GUINEA,,PAPUA NEW GUINEA:  BISMARCK SEA,170.0,,,,,,,,,,,,,,,,,,,,,,,,,-4.423, 145.46
3431,,1930,11.0,19.0,7.1,,7.1,,,JAPAN,,JAPAN:  HONSHU:  IDU,30.0,259.0,Many (~101 to 1000 deaths),,,1285.0,Very Many (~1001 or more deaths),,EXTREME (~$25 million or more),8099.0,Very Many (~1001 or more houses),,,259.0,Many (~101 to 1000 deaths),,,1285.0,Very Many (~1001 or more deaths),,EXTREME (~$25 million or more),8099.0,Very Many (~1001 or more houses),,,35.0, 139.0
6085,Tsunami,1930,6.0,33.0,6.0,,6.0,,,INDONESIA,,JAVA-S. JAVA SEA,60.0,,,,,,,,,,,,,,,,,,,,,,,,,-5.6, 105.3
6090,Tsunami,1930,12.0,33.0,6.5,,6.5,,,PAPUA NEW GUINEA,,PAPUA NEW GUINEA:  BISMARCK SEA,170.0,,,,,,,,,,,,,27.0,Few (~1 to 50 deaths),,,8.0,Few (~1 to 50 deaths),,MODERATE (~$1 to $5 million),104.0,Many (~101 to 1000 houses),,,-1.3, 144.3
